模, 12436
列, 12419
締, 12393
腰, 12384
髪, 12379
診, 12365
悲, 12331
避, 12299
樹, 12264
甲, 12247
称, 12237
栄, 12199
恵, 12193
猫, 12192
順, 12154
絡, 12137
岩, 12119
犬, 12110
秘, 12066
卒, 12062
帝, 12057
剤, 12042
雪, 12030
益, 12015
鳥, 11968
包, 11959
審, 11959
魔, 11946
倉, 11939
黙, 11920
壊, 11911
便, 11909
善, 11829
攻, 11817
就, 11797
簡, 11781
株, 11780
姉, 11730
措, 11700
祖, 11669
駆, 11659
皆, 11653
刺, 11640
泣, 11581
永, 11510
捕, 11505
批, 11478
隣, 11478
欠, 11436
宗, 11422
訊, 11397
聴, 11387
華, 11357
了, 11347
延, 11338
執, 11309
仏, 11284
妙, 11279
勤, 11271
占, 11268
衆, 11264
徴, 11239
縮, 11225
標, 11114
遅, 11080
互, 11075
房, 11064
仮, 11050
豊, 11013
粉, 10995
幕, 10983
闘, 10966
迫, 10936
弾, 10920
菜, 10901
阪, 10900
慣, 10892
惑, 10889
易, 10883
魚, 10858
奈, 10810
袋, 10800
黄, 10793
炎, 10792
溶, 10736
捨, 10730
砂, 10713
競, 10713
針, 10695
微, 10693
吹, 10652
雄, 10636
麻, 10606
柄, 10581
緊, 10564
幹, 10512
秀, 10495
廃, 10464
謝, 10435
頁, 10417
群, 10396
徒, 10366
夕, 10364
揺, 10306
快, 10297
滅, 10287
免, 10256
至, 10253
翌, 10251
飯, 10246
虫, 10234
承, 10209
諸, 10170
辞, 10155
範, 10144
純, 10142
威, 10117
救, 10113
才, 10060
層, 10007
紹, 10000
採, 9985
央, 9940
竹, 9924
徳, 9913
岸, 9886
衣, 9881
候, 9859
博, 9840
功, 9835
迷, 9811
幼, 9809
巨, 9763
賀, 9750
句, 9732
荒, 9699
丁, 9684
冬, 9679
甘, 9675
季, 9673
鼻, 9654
典, 9634
濃, 9613
露, 9598
停, 9576
吐, 9544
奇, 9523
捜, 9514
跡, 9465
儀, 9437
討, 9435
港, 9388
排, 9364
宣, 9357
釈, 9320
漢, 9300
汚, 9258
韓, 9255
誘, 9237
崩, 9225
湯, 9225
躍, 9224
爆, 9209
維, 9192
毒, 9148
晴, 9108
阿, 9086
庁, 9069
添, 9066
彦, 9038
距, 9035
億, 9007
輩, 8942
郷, 8927
乳, 8925
携, 8911
騎, 8893
祭, 8888
脚, 8873
盗, 8870
矢, 8859
宇, 8856
杉, 8820
旧, 8792
拡, 8779
怪, 8771
肌, 8750
聖, 8748
哲, 8653
午, 8643
騒, 8631
操, 8628
襲, 8607
煙, 8569
稿, 8567
泉, 8533
昼, 8506
瀬, 8487
勉, 8444
摘, 8415
輝, 8403
誤, 8355
剣, 8354
燃, 8319
鈴, 8289
糖, 8288
閣, 8259
玄, 8256
棄, 8232
奪, 8221
幅, 8218
乾, 8217
慮, 8213
択, 8213
舎, 8158
充, 8135
耐, 8119
陰, 8111
悩, 8107
縄, 8099
那, 8065
箱, 8055
裕, 8026
豆, 8022
疲, 8009
枝, 7972
催, 7965
尽, 7945
鹿, 7929
霊, 7925
浜, 7893
屈, 7880
輸, 7824
到, 7820
旨, 7796
沈, 7771
詳, 7766
副, 7739
臓, 7735
巡, 7718
致, 7641
析, 7635
穴, 7615
須, 7610
尊, 7605
概, 7603
牛, 7603
尋, 7595
昇, 7592
鏡, 7577
涙, 7557
陣, 7545
晩, 7502
衝, 7502
奴, 7496
徹, 7474
駄, 7454
頷, 7437
干, 7422
煮, 7398
透, 7391
債, 7368
沖, 7314
眺, 7278
也, 7277
寒, 7275
敬, 7246
販, 7240
妹, 7238
叩, 7194
署, 7192
雇, 7179
逢, 7172
魅, 7168
努, 7164
趣, 7126
貸, 7094
嬉, 7022
刀, 7015
偵, 6943
曜, 6935
揚, 6934
紅, 6931
浴, 6919
慢, 6888
票, 6879
獲, 6855
叫, 6838
侵, 6837
辛, 6824
緑, 6808
融, 6801
埋, 6788
帳, 6775
裂, 6769
寿, 6738
漏, 6738
菌, 6732
籍, 6728
伏, 6727
既, 6687
炭, 6664
揮, 6617
訓, 6614
看, 6613
削, 6600
即, 6569
孫, 6555
仰, 6550
核, 6550
貫, 6547
卵, 6536
宝, 6513
伴, 6491
均, 6481
脈, 6460
銃, 6415
頑, 6390
序, 6317
悟, 6304
頂, 6300
杯, 6297
澤, 6280
粒, 6266
臭, 6264
桜, 6249
虚, 6240
宙, 6237
賃, 6210
恥, 6190
緩, 6175
懐, 6165
招, 6145
闇, 6143
椅, 6124
狭, 6115
滑, 6105
浦, 6084
誕, 6082
柔, 6080
罰, 6073
促, 6071
俗, 6067
浅, 6065
豪, 6046
邪, 6031
脇, 6029
飾, 6019
童, 5991
貨, 5989
懸, 5987
績, 5972
冊, 5956
糸, 5949
臨, 5939
還, 5928
較, 5915
鬼, 5893
灯, 5892
覆, 5872
舌, 5856
抵, 5813
譲, 5811
愚, 5801
菅, 5796
札, 5791
悔, 5789
牧, 5784
狙, 5783
償, 5781
狂, 5772
沿, 5763
勘, 5760
棒, 5756
索, 5719
託, 5719
乃, 5716
控, 5716
欄, 5708
熊, 5705
稲, 5683
祝, 5678
購, 5674
扉, 5668
潜, 5654
麗, 5650
尻, 5648
哀, 5628
如, 5612
預, 5611
腐, 5604
貧, 5601
漫, 5590
勇, 5586
亜, 5573
航, 5545
飼, 5520
忠, 5518
胞, 5487
倫, 5485
泊, 5485
塗, 5468
俳, 5465
孤, 5461
佳, 5445
柳, 5421
靴, 5416
僚, 5411
匠, 5410
唐, 5410
尿, 5404
掘, 5400
却, 5393
封, 5387
酔, 5364
畑, 5339
挑, 5320
献, 5295
吾, 5294
熟, 5291
肺, 5274
綿, 5261
逸, 5258
龍, 5253
奏, 5251
膝, 5226
紫, 5224
塚, 5215
貞, 5212
汁, 5210
葬, 5202
匂, 5188
芝, 5180
偽, 5167
智, 5139
藩, 5133
盟, 5128
欧, 5099
雰, 5099
彩, 5089
渉, 5083
唇, 5071
焦, 5069
珍, 5051
秒, 5031
堀, 5025
柱, 5021
唱, 4994
墓, 4993
茂, 4993
硬, 4988
遂, 4969
併, 4968
冒, 4968
附, 4967
礎, 4965
偶, 4964
繁, 4954
誠, 4952
湾, 4934
賛, 4920
蒸, 4914
烈, 4903
駐, 4893
眉, 4890
呂, 4860
汗, 4858
穂, 4850
邦, 4847
棋, 4821
噓, 4815
氷, 4802
欺, 4799
肝, 4799
縦, 4792
履, 4776
丹, 4774
摂, 4765
慌, 4749
斎, 4742
賢, 4740
仁, 4717
棚, 4717
隔, 4715
滞, 4703
捉, 4686
坊, 4666
綱, 4662
雅, 4647
凍, 4610
拒, 4609
摩, 4601
誇, 4590
咲, 4585
忙, 4557
唯, 4554
訟, 4553
勧, 4547
酷, 4535
銭, 4528
栗, 4523
渋, 4515
幾, 4495
鑑, 4480
弘, 4473
稼, 4473
垂, 4459
穏, 4438
鶴, 4401
皿, 4397
梅, 4389
覧, 4361
揃, 4356
丷, 4353
淡, 4344
挨, 4335
弥, 4325
筒, 4325
恩, 4321
掃, 4320
戒, 4313
魂, 4313
刷, 4305
頰, 4303
卓, 4302
廊, 4296
紛, 4292
陥, 4292
拓, 4285
獄, 4261
貯, 4249
隅, 4249
幻, 4241
脅, 4234
把, 4227
覗, 4223
鶏, 4212
拶, 4197
磨, 4184
麦, 4183
廷, 4182
奮, 4180
鉱, 4179
漁, 4169
偉, 4163
沙, 4163
顧, 4161
潰, 4157
踊, 4157
軸, 4149
慶, 4121
旗, 4120
鍋, 4117
鋭, 4114
鍵, 4090
湿, 4088
慎, 4081
畳, 4074
逮, 4070
豚, 4068
双, 4050
嫁, 4046
膨, 4046
奉, 4035
缶, 4035
泥, 4032
喫, 4030
浸, 4030
祈, 4020
券, 4015
朱, 4005
往, 4002
邸, 3990
傍, 3981
隆, 3980
腸, 3975
羅, 3971
姫, 3970
沼, 3968
凄, 3955
噂, 3955
没, 3948
殊, 3943
寂, 3907
跳, 3899
丘, 3897
砲, 3887
暑, 3886
喋, 3885
机, 3869
贈, 3868
網, 3856
呟, 3852
兼, 3849
敏, 3836
湖, 3828
睡, 3827
枠, 3823
采, 3821
溜, 3817
挟, 3808
凝, 3803
俊, 3783
詐, 3780
獣, 3770
誉, 3760
胃, 3741
謎, 3740
潤, 3739
括, 3732
遇, 3728
朗, 3724
